Customer_ID,Customer_Name,City,State,Signup_Date
C001,Rahul Sharma,Bangalore,Karnataka,2025-01-01
C002,Priya Rao,Mysore,Karnataka,2025-01-05
C003,Arjun Patel,Ahmedabad,Gujarat,2025-01-10
C004,Sneha Reddy,Hyderabad,Telangana,2025-01-12
C005,Karan Mehta,Mumbai,Maharashtra,2025-01-15
C006,Neha Singh,Delhi,Delhi,2025-01-18
C007,Vikram Nair,Kochi,Kerala,2025-01-20
C008,Pooja Verma,Jaipur,Rajasthan,2025-01-22
C009,Aditya Kumar,Patna,Bihar,2025-01-25
C010,Ananya Das,Kolkata,West Bengal,2025-01-28

